# Gold Data Company Geofeed, last updated: 2023-01-26
# Email:edward.manzol@golddata.net
# IP Prefix, Alpha2code, Region, City, Postal Code
186.96.76.192/28,VE,VE-A,Caracas,1050
38.87.218.0/24,VE,VE-A,Caracas,1050
190.52.109.0/24,VE,VE-A,Caracas,1050
38.87.216.0/24,PA,PA-8,Panama,0801
38.87.208.0/22,PA,PA-8,Panama,0801
190.52.110.0/24,VE,VE-A,Caracas,1050
186.96.79.64/27,VE,VE-A,Caracas,1050
38.87.218.0/24,VE,VE-A,Caracas,1050
200.125.191.112/24,VE,VE-A,Caracas,1050
38.87.252.0/24,PA,PA-8,Panama,0801
PRUEBA
